Qty,Description,Category,Manufacturer,Mfg part,Vendor,Vendor part,Unit cost,Designator,,,,,Qty,Description,Category,Manufacturer,Mfg part,Vendor,Vendor part,Unit cost
1,"DIP switch, 0.05"" pitch, 2pos, 50V",Switches,CTS Electrocomponents,218-2LPST,DK,CT2182LPST-ND,1.06,SW3,,,,,,,,,,,,
1,"Micro-Fit header, 6pos, RA, SMD, with solder tabs",Connectors,Molex,43045-0609,DK,WM1827CT-ND,3.2,X3,,,,,,,,,,,,
1,"Schottky rectifier, 30V, 1A, SMA",Passives,Diodes Inc,B130-13-F,DK,B130-FDICT-ND,0.43,D1,,,,,,,,,,,,
2,"0.05"" male pin header, 1 row, 10 positions, through-hole",Connectors,Global Connector Technology,BD020-10-A-J-0350-0300-L-G,NW,67R7292,0.678,"X1, X2",,,,,,,,,,,,
4,"Inductor, Chip, 60ohm, 1.5A, 0603",Passives,Taiyo Yuden,BKP1608HS600-T,DK,587-1928-1-ND,0.047,"L2, L3, L4, L5",,,,,,,,,,,,
1,"Diode, Schottky, 40V, 500 mA, SOD-123",Passives,STMICROELECTRONICS,STPS0560Z,NW,89K1573,0.762,D2,,,,,,,,,,,,
3,"IC, Quad Op-Amp, Single Supply Rail-Rail, 500 KHz, TSSOP-14",ICs,Texas Instruments,TLV2764IPWR,NW,76C8534,3.06,"IC4, IC6, IC7",,,,,,,,,,,,
3,"LED, Green, 0603, 10mcd",LEDs,Osram,LGQ971,NW,05M0493,0.054,"LED0, LED2, LED3",,,,,,,,,,,,
3,"Capacitor, Ceramic, .1uF 25V 10% 0603 X7R",Passives,TDK,C1608X7R1E104K080AA,DK,445-1316-1-ND,0.011,"C22, C23, C24, C32",,,,,,,,,,,,
1,"Capacitor, Ceramic, 1 uF, 50V, X7R, 10%, 1210",Passives,Murata,GRM32RR71H105KA01L,NW,97K0677,0.248,C29,,,,,,,,,,,,
13,"Resistor, 1k ohm 63 mW, 1%, 0603",Passives,Multicomp,MC0603WGF1001T5E-TC,NW,58K4448,0.009,"R1, R2, R3, R4, R5, R6, R7, R9, R10, R11, R12, R13, R18",,,,,,,,,,,,
7,"Capacitor, Ceramic, 2.2UF, 10%, 25V, 0603, X5R",Passives,Murata,GRM188R61E225KA12D,NW,13T1193,0.107,"C1, C2, C3, C4, C5, C6, C17",,,,,,,,,,,,
1,"Capacitor, Ceramic, 4.7 nF, 50V, X7R, 10%, 0603",Passives,Murata,GRM188R71H472KA01D,NW,38K1673,0.006,C18,,,,,,,,,,,,
1,"Capacitor, Ceramic, 4.7 uF 25V, 10%, X5R, 0805",Passives,Multicomp,MC0805X475K250CT,NW,06R4181,0.037,C14,,,,,,,,,,,,
1,"Resistor, 5.6 kohm, 100 mW, 1%, 0603",Passives,Panasonic,ERJ-3EKF5601V,NW,64R5354,0.096,R16,,,,,,,,,,,,
1,"Capacitor, Ceramic, 10UF, 35V, X5R, 10%, 1206",Passives,Murata,GRM31CR6YA106KA12L,NW,72R4211,0.355,C16,,,,,,,,,,,,
1,"Resistor, 10k ohm 100 mW, 5%, 100ppm, 0603",Passives,Yageo,RC0603JR-1010KL,NW,68R0215,0.008,R46,,,,,,,,,,,,
1,"Inductor, 18 uH, 1.5 A, unshielded, 15%, 8012",Passives,Bourns,SDR0604-180YL,DK,SDR0604-180YLCT-ND,0.47,L6,,,,,,,,,,,,
2,"Capacitor, Ceramic, 22 uF, 6.3V, X5R, 20%, 0805",Passives,Murata,GRM21BR60J226ME39L,NW,24R6338,0.091,"C30, C31",,,,,,,,,,,,
12,"Capacitor, Ceramic, 33 nF, 50V, X7R, 10%",Passives,AVX,06035C333KAT2A,NW,66H6168,0.018,"C7, C8, C9, C10, C11, C12, C13, C15, C19, C20, C21, C28",,,,,,,,,,,,
1,"Resistor, 36 kohm, 1%, 100 mW, 0603",Passives,Yageo,RC0603FR-0736KL,DK,311-36.0KHRCT-ND,0.0108,R47,,,,,,,,,,,,
2,"Resistor, 60.4 ohm, 100 mW, 1%, 0603",Passives,Panasonic,ERJ-3EKF60R4V,NW,65T8495,0.096,"R17, R19",,,,,,,,,,,,
4,"Resistor, 82 ohm, 125 mW, 5%, 0805",Passives,Panasonic,ERJ-6GEYJ820V,NW,53W4971,0.096,"R14, R15, R36, R37",,,,,,,,,,,,
1,"Resistor, Thick Film, 20 kohm, 100 mW, 1%, 0603",Passives,Vishay Dale,RC0603FR-0720KL,NW,68R0068,0.017,"R43, R44",,,,,,,,,,,,
1,** CAUTION - POOR AVAILABILITY ** CHOKE COMMON MODE 51UH 25%,Passives,Bourns Inc,DR331-513AE,DK,DR331-513AECT-ND,0.86,L7,,,,,,,,,,,,
1,"Tactile switch, SPST-NO, 0.05A, 12V",Switches,TE Connectivity,FSM1LPATR,DK,450-1760-1-ND,0.33,SW2,,,,,,,,,,,,
1,"IC, CAN TXRX, 1MBPS, 1/1, 5V, SOP-8",ICs,Texas Instruments,ISO1050DUBR,NW,14R9899,4.54,IC9,,,,,,,,,,,,
1,"0.05"""" male pin header, 2 rows, 14 positions (TI JTAG) - surface mount, vertical",Connectors,Samtec,FTS-107-01-F-DV,NW,56P3763,0.9,X6,,,,,,,,,,,,
1,"IC, DC-DC Conv, Buck, 42 Vin, 1.25 MHz, SOT23-6",ICs,Texas Instruments,LMR14206XMKE/NOPB,NW,76T5004,2.72,IC2,,,,,,,,,,,,
1,"IC, LDO VOLT REG, 3.3V, 0.5A, SOT-223-5",ICs,Texas Instruments,LP38693MP-3.3/NOPB,NW,41K7496,1.53,IC3,,,,,,,,,,,,
1,"Micro-Clasp header, 20pos, 2 rows, RA, through-hole",Connectors,Molex,55959-2030,NW,09J7572,1.13,X5,,,,,,,,,,,,
2,TVS DIODE 30VWM 48.4VC SMB,Passives,Littelfuse,SMBJ30CA,DK,SMBJ30CALFCT-ND,0.423,"D3, D4",,,,,,,,,,,,
1,"IC, Buffer, 2-bit, non-invert, open drain, SOT-23-6",ICs,Texas Instruments,SN74LVC2G07DBVR,DK,296-13494-1-ND,0.59,IC5,,,,,,,,,,,,
1,"IC, MCU, C2000 piccolo, LQFP80",ICs,Texas Instruments,TMS320F28035PNT,DK,296-32764-ND,12.38,IC1,,,,,,,,,,,,
1,"LED, Yellow, 0603, 14mcd",LEDs,Lumex,SML-LX0603YW-TR,NW,75K1443,0.152,LED1,,,,,,,,,,,,
